,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
503,503,Northam,51.0333,-4.2167,59.4,96,88,13.42,GB,2022-09-08 02:52:33,light rain
507,507,Caohai,26.8661,104.2841,66.29,55,10,5.3,CN,2022-09-08 02:52:35,clear sky
508,508,Ondarroa,43.3167,-2.4167,61.79,85,94,3.36,ES,2022-09-08 02:52:35,overcast clouds
511,511,Kidodi,-7.6036,37.0044,68.13,79,65,1.14,TZ,2022-09-08 02:52:37,broken clouds
513,513,Chancay,-11.5714,-77.2672,59.02,85,85,9.19,PE,2022-09-08 02:50:21,overcast clouds
516,516,Kalmar,56.6616,16.3616,44.53,93,20,3.44,SE,2022-09-08 02:52:38,few clouds
517,517,Caravelas,-17.7125,-39.2481,68.85,72,100,6.64,BR,2022-09-08 02:52:39,overcast clouds
518,518,Gondar,12.6,37.4667,55.54,82,96,3.42,ET,2022-09-08 02:52:40,overcast clouds
519,519,Truro,50.2653,-5.0544,60.08,94,20,12.66,GB,2022-09-08 02:52:40,few clouds
520,520,Ciortesti,46.9,27.8333,56.52,76,24,2.39,RO,2022-09-08 02:52:41,few clouds
522,522,Komsomolets,53.7453,62.0708,46.13,67,54,8.37,KZ,2022-09-08 02:52:42,broken clouds
523,523,Antofagasta,-23.65,-70.4,56.48,79,51,1.86,CL,2022-09-08 02:49:51,broken clouds
526,526,Flin Flon,54.7682,-101.865,62.04,44,95,7.72,CA,2022-09-08 02:52:44,overcast clouds
528,528,Lasa,46.6166,10.7002,65.28,95,100,4.65,IT,2022-09-08 02:52:44,light rain
529,529,Christchurch,-43.5333,172.6333,55.94,64,75,10.36,NZ,2022-09-08 02:52:45,broken clouds
530,530,Vanavara,60.34,102.2797,49.98,97,100,14.27,RU,2022-09-08 02:52:46,moderate rain
533,533,Kologriv,58.8275,44.3178,42.55,96,100,6.58,RU,2022-09-08 02:52:47,overcast clouds
535,535,Paraiso,9.8383,-83.8656,68.88,100,100,1.41,CR,2022-09-08 02:52:48,overcast clouds
536,536,Orvault,47.271,-1.6219,64.65,91,75,4.61,FR,2022-09-08 02:52:48,broken clouds
537,537,Semey,50.4111,80.2275,61.02,41,0,6.71,KZ,2022-09-08 02:52:49,clear sky
538,538,Ostersund,63.1792,14.6357,48.65,87,100,10.36,SE,2022-09-08 02:52:49,overcast clouds
545,545,Qaqortoq,60.7167,-46.0333,43.52,91,95,2.73,GL,2022-09-08 02:53:54,overcast clouds
546,546,Paternion,46.7142,13.6361,64.8,98,66,3.02,AT,2022-09-08 02:53:54,broken clouds
549,549,Batemans Bay,-35.7167,150.1833,64.09,81,99,9.44,AU,2022-09-08 02:53:56,moderate rain
552,552,Kedrovyy,56.1667,91.8167,59.41,56,63,16.96,RU,2022-09-08 02:53:57,broken clouds
553,553,Krasnogvardeyskiy,57.3793,62.3195,42.6,85,76,5.7,RU,2022-09-08 02:53:58,broken clouds
555,555,Abalak,58.1286,68.5944,43.2,91,100,7.05,RU,2022-09-08 02:53:59,overcast clouds
562,562,Nurota,40.5614,65.6886,67.93,23,0,9.1,UZ,2022-09-08 02:54:02,clear sky
566,566,Mutoko,-17.397,32.2268,47.95,89,0,4.72,ZW,2022-09-08 02:54:05,clear sky
571,571,Betare Oya,5.6,14.0833,66.09,99,100,1.41,CM,2022-09-08 02:54:08,moderate rain
573,573,Belyy Yar,53.6039,91.3903,67.89,32,0,20.13,RU,2022-09-08 02:54:09,clear sky
574,574,Ndele,8.4109,20.6473,68.9,98,100,1.59,CF,2022-09-08 02:54:09,moderate rain
576,576,Bracebridge,45.0334,-79.3163,59.32,100,0,0.0,CA,2022-09-08 02:54:10,clear sky
578,578,Berkovica,44.6156,18.4294,61.11,89,29,4.36,BA,2022-09-08 02:54:12,scattered clouds
579,579,Belmonte,-15.8631,-38.8828,69.98,81,85,10.4,BR,2022-09-08 02:54:12,overcast clouds
581,581,Prieska,-29.6641,22.7474,59.0,14,0,5.01,ZA,2022-09-08 02:54:15,clear sky
582,582,Dunda,-8.1167,34.25,58.37,70,7,3.0,TZ,2022-09-08 02:54:15,clear sky
585,585,Prince Rupert,54.3161,-130.3201,57.29,88,100,20.71,CA,2022-09-08 02:50:34,overcast clouds
587,587,La Ronge,55.1001,-105.2842,62.85,55,100,13.8,CA,2022-09-08 02:55:18,overcast clouds
589,589,Fairbanks,64.8378,-147.7164,60.76,66,75,3.44,US,2022-09-08 02:50:53,broken clouds
592,592,Requena,39.4883,-1.1004,69.78,39,60,6.22,ES,2022-09-08 02:55:21,broken clouds
593,593,Dondo,-19.6094,34.7431,65.62,89,34,1.57,MZ,2022-09-08 02:55:21,scattered clouds
595,595,Kodinsk,58.6881,99.1844,60.1,91,100,11.63,RU,2022-09-08 02:55:23,overcast clouds
596,596,Monroe,43.1501,-77.6831,66.58,95,75,0.0,US,2022-09-08 02:54:05,broken clouds
599,599,Romny,50.751,33.4747,42.06,65,28,5.68,UA,2022-09-08 02:55:25,scattered clouds
604,604,Wladyslawowo,54.7909,18.4009,51.35,67,100,11.77,PL,2022-09-08 02:55:28,overcast clouds
606,606,Herouville-Saint-Clair,49.2109,-0.3065,61.79,88,75,8.05,FR,2022-09-08 02:55:29,broken clouds
608,608,Floro,61.5996,5.0328,57.16,82,99,11.5,NO,2022-09-08 02:55:30,overcast clouds
611,611,Andenes,69.3143,16.1194,46.38,87,100,3.44,NO,2022-09-08 02:55:32,overcast clouds
613,613,Bururi,-3.85,29.6333,59.09,77,53,2.98,BI,2022-09-08 02:55:34,broken clouds
617,617,Tsarychanka,48.937,34.4786,46.71,57,2,6.13,UA,2022-09-08 02:55:36,clear sky
618,618,Beloha,-25.1667,45.05,67.19,75,100,12.03,MG,2022-09-08 02:55:36,overcast clouds
619,619,Sasolburg,-26.8136,27.817,53.2,73,0,5.79,ZA,2022-09-08 02:55:37,clear sky
620,620,Aykhal,66.0,111.5,41.05,64,63,13.47,RU,2022-09-08 02:55:38,broken clouds
624,624,Hofn,64.2539,-15.2082,52.23,87,100,4.83,IS,2022-09-08 02:55:40,overcast clouds
626,626,Lokosovo,61.1333,74.8167,40.98,87,100,11.16,RU,2022-09-08 02:55:41,overcast clouds
631,631,Khuzhir,53.1939,107.3397,54.7,78,94,11.18,RU,2022-09-08 02:55:44,overcast clouds
636,636,Linqiong,30.4159,103.4609,67.82,84,100,0.54,CN,2022-09-08 02:56:46,overcast clouds
637,637,Bronnoysund,65.4625,12.1997,53.6,66,72,14.97,NO,2022-09-08 02:56:47,broken clouds
639,639,Grakhovo,56.0502,51.9676,45.25,89,100,6.46,RU,2022-09-08 02:56:47,overcast clouds
640,640,Fort Saint James,54.4333,-124.25,52.93,62,80,9.91,CA,2022-09-08 02:56:48,broken clouds
641,641,Zemio,5.0314,25.1361,66.7,98,100,2.48,CF,2022-09-08 02:56:49,light rain
643,643,Whitianga,-36.8333,175.7,56.3,61,48,3.4,NZ,2022-09-08 02:56:50,scattered clouds
644,644,Faya,18.3851,42.4509,66.31,32,3,5.46,SA,2022-09-08 02:55:38,clear sky
645,645,Allauch,43.3357,5.482,67.35,31,91,4.14,FR,2022-09-08 02:56:50,overcast clouds
646,646,Sorland,67.667,12.6934,49.86,72,17,10.8,NO,2022-09-08 02:56:51,few clouds
649,649,Sambava,-14.2667,50.1667,68.7,75,97,11.88,MG,2022-09-08 02:56:52,overcast clouds
650,650,Barcs,45.96,17.4586,62.91,94,62,3.56,HU,2022-09-08 02:56:53,broken clouds
651,651,Roma,43.2128,-75.4557,65.88,91,62,1.14,US,2022-09-08 02:56:54,broken clouds
652,652,Kindersley,51.4668,-109.1682,69.82,40,100,23.02,CA,2022-09-08 02:56:54,overcast clouds
660,660,Mount Gambier,-37.8333,140.7667,58.91,94,100,9.22,AU,2022-09-08 02:56:58,light intensity shower rain
662,662,Coolum Beach,-26.5333,153.1,68.11,78,89,1.01,AU,2022-09-08 02:56:59,light rain
666,666,Whyalla,-33.0333,137.5833,64.72,52,49,21.47,AU,2022-09-08 02:57:01,scattered clouds
667,667,Tianpeng,30.9866,103.9393,66.67,80,100,2.98,CN,2022-09-08 02:57:02,overcast clouds
668,668,Bloomsburg,41.0037,-76.4549,66.11,97,100,2.35,US,2022-09-08 02:57:03,overcast clouds
