,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
127,127,Codrington,-38.2667,141.9667,56.52,94,100,16.71,AU,2022-09-08 02:39:55,light rain
131,131,Akdepe,42.0551,59.3788,57.29,32,71,17.83,TM,2022-09-08 02:39:57,broken clouds
133,133,Anadyr,64.75,177.4833,50.5,57,0,8.95,RU,2022-09-08 02:39:58,clear sky
135,135,Rawson,-43.3002,-65.1023,43.61,62,83,10.96,AR,2022-09-08 02:40:00,broken clouds
136,136,Tuktoyaktuk,69.4541,-133.0374,42.8,93,100,10.36,CA,2022-09-08 02:40:00,mist
139,139,Palmer,42.1584,-72.3287,66.61,81,75,0.0,US,2022-09-08 02:40:03,broken clouds
140,140,New Norfolk,-42.7826,147.0587,58.5,71,100,1.99,AU,2022-09-08 02:41:03,overcast clouds
141,141,Mgandu,-5.95,34.1333,58.71,72,49,8.95,TZ,2022-09-08 02:41:04,scattered clouds
144,144,Dunapataj,46.644,18.9963,65.75,71,52,5.32,HU,2022-09-08 02:41:05,broken clouds
146,146,Alvaro Obregon,19.3733,-99.225,63.99,76,100,6.91,MX,2022-09-08 02:41:07,overcast clouds
147,147,Dunedin,-45.8742,170.5036,49.8,70,29,1.01,NZ,2022-09-08 02:41:09,scattered clouds
149,149,Narsaq,60.9167,-46.05,44.82,80,94,3.15,GL,2022-09-08 02:41:11,overcast clouds
151,151,East London,-33.0153,27.9116,60.44,82,13,4.14,ZA,2022-09-08 02:41:13,few clouds
155,155,Pevek,69.7008,170.3133,46.58,53,21,22.3,RU,2022-09-08 02:41:15,few clouds
161,161,Dois Vizinhos,-25.7336,-53.0572,57.92,97,51,3.15,BR,2022-09-08 02:40:59,broken clouds
164,164,Caernarfon,53.1413,-4.2702,58.73,77,75,8.05,GB,2022-09-08 02:41:20,broken clouds
165,165,Raymond,43.9015,-70.4703,59.02,86,79,1.97,US,2022-09-08 02:41:21,broken clouds
167,167,Birao,10.2849,22.7882,69.49,98,100,5.86,CF,2022-09-08 02:41:22,moderate rain
169,169,Te Anau,-45.4167,167.7167,46.09,76,47,1.01,NZ,2022-09-08 02:41:24,scattered clouds
170,170,Bose,45.4612,8.0137,66.29,96,100,1.14,IT,2022-09-08 02:41:24,overcast clouds
173,173,Chokurdakh,70.6333,147.9167,57.6,39,100,13.27,RU,2022-09-08 02:41:26,overcast clouds
174,174,Ribeirao Bonito,-22.0667,-48.1761,69.48,55,11,8.88,BR,2022-09-08 02:41:27,few clouds
176,176,Tuatapere,-46.1333,167.6833,51.01,63,23,3.31,NZ,2022-09-08 02:41:28,few clouds
177,177,Agadir,30.4202,-9.5982,64.85,80,8,2.53,MA,2022-09-08 02:41:29,clear sky
178,178,Sitka,57.0531,-135.33,60.69,72,75,10.36,US,2022-09-08 02:41:29,broken clouds
179,179,Kruisfontein,-34.0033,24.7314,51.94,75,4,4.52,ZA,2022-09-08 02:41:30,clear sky
180,180,College,64.8569,-147.8028,60.75,66,75,3.44,US,2022-09-08 02:41:31,broken clouds
183,183,Imbituba,-28.24,-48.6703,66.85,97,61,9.84,BR,2022-09-08 02:41:32,broken clouds
185,185,Norman Wells,65.282,-126.8329,55.44,50,75,6.91,CA,2022-09-08 02:41:33,broken clouds
189,189,Beyneu,45.3167,55.2,63.43,35,62,4.03,KZ,2022-09-08 02:41:18,broken clouds
192,192,Whitehorse,60.7161,-135.0538,63.37,34,75,14.97,CA,2022-09-08 02:42:37,broken clouds
193,193,Athabasca,54.7169,-113.2854,59.41,52,42,9.66,CA,2022-09-08 02:42:38,scattered clouds
197,197,Nanortalik,60.1432,-45.2371,43.09,93,36,4.16,GL,2022-09-08 02:42:40,scattered clouds
198,198,Tiksi,71.6872,128.8694,43.74,77,100,10.4,RU,2022-09-08 02:42:40,overcast clouds
201,201,Pshekhskaya,44.696,39.7967,45.54,67,40,2.57,RU,2022-09-08 02:42:42,scattered clouds
205,205,Barabinsk,55.3571,78.357,49.64,64,14,18.9,RU,2022-09-08 02:42:44,few clouds
206,206,Saint-Joseph,-21.3667,55.6167,67.21,77,22,10.51,RE,2022-09-08 02:42:45,few clouds
208,208,Geraldton,-28.7667,114.6,57.61,94,91,6.91,AU,2022-09-08 02:42:46,overcast clouds
210,210,Ust-Maya,60.4167,134.5333,42.98,94,100,11.95,RU,2022-09-08 02:42:47,light rain
212,212,Klaksvik,62.2266,-6.589,56.32,99,100,17.29,FO,2022-09-08 02:42:48,light rain
213,213,Burns Lake,54.2331,-125.7533,54.82,75,68,6.93,CA,2022-09-08 02:42:49,broken clouds
214,214,Paamiut,61.994,-49.6678,40.8,83,100,10.65,GL,2022-09-08 02:42:50,overcast clouds
216,216,Atasu,48.6814,71.6433,56.05,31,99,5.48,KZ,2022-09-08 02:42:51,overcast clouds
217,217,Ola,59.5833,151.2833,55.15,92,100,17.6,RU,2022-09-08 02:42:51,moderate rain
219,219,Broome,42.2506,-75.833,65.46,89,100,0.0,US,2022-09-08 02:42:52,overcast clouds
221,221,Rio Grande,-32.035,-52.0986,53.94,89,41,4.99,BR,2022-09-08 02:42:53,scattered clouds
222,222,Egvekinot,66.3167,-179.1667,40.42,67,0,0.81,RU,2022-09-08 02:42:54,clear sky
226,226,Waipawa,-41.4122,175.5153,49.93,76,83,3.13,NZ,2022-09-08 02:42:56,broken clouds
228,228,Inhambane,-23.865,35.3833,67.59,65,57,5.28,MZ,2022-09-08 02:42:57,broken clouds
229,229,Mehamn,71.0357,27.8492,48.15,93,100,16.11,NO,2022-09-08 02:42:58,overcast clouds
231,231,Narrabri,-30.3167,149.7833,67.51,52,100,8.01,AU,2022-09-08 02:43:59,moderate rain
234,234,Asfi,32.2994,-9.2372,68.34,85,4,13.73,MA,2022-09-08 02:44:00,clear sky
236,236,Albanel,48.8832,-72.4487,60.94,94,96,3.44,CA,2022-09-08 02:44:01,overcast clouds
237,237,Chumikan,54.7183,135.315,59.25,50,98,19.46,RU,2022-09-08 02:44:02,overcast clouds
238,238,Beringovskiy,63.05,179.3167,45.54,64,5,4.32,RU,2022-09-08 02:44:02,clear sky
239,239,Grand Gaube,-20.0064,57.6608,68.4,70,91,12.95,MU,2022-09-08 02:44:02,overcast clouds
243,243,Torbay,47.6666,-52.7314,54.39,91,100,14.97,CA,2022-09-08 02:44:05,light intensity shower rain
244,244,Pisco,-13.7,-76.2167,59.05,88,100,14.97,PE,2022-09-08 02:42:40,overcast clouds
247,247,Souillac,-20.5167,57.5167,68.38,73,75,3.44,MU,2022-09-08 02:44:07,broken clouds
248,248,Zyryanka,65.75,150.85,64.85,46,68,28.1,RU,2022-09-08 02:44:07,broken clouds
249,249,Slave Lake,55.2834,-114.769,60.78,48,0,17.27,CA,2022-09-08 02:44:08,clear sky
251,251,Namibe,-15.1961,12.1522,64.17,94,68,4.14,AO,2022-09-08 02:44:09,broken clouds
254,254,Cidreira,-30.1811,-50.2056,60.28,90,0,4.92,BR,2022-09-08 02:44:11,clear sky
255,255,Goulburn,-34.75,149.7167,60.62,64,100,12.12,AU,2022-09-08 02:44:12,moderate rain
258,258,Kaitangata,-46.2817,169.8464,51.46,53,28,4.47,NZ,2022-09-08 02:44:13,scattered clouds
261,261,Putina,-15.4667,-69.4333,46.31,69,4,3.65,PE,2022-09-08 02:44:15,clear sky
262,262,Sterlibashevo,53.4376,55.2578,48.34,58,100,9.75,RU,2022-09-08 02:44:15,overcast clouds
264,264,Alice Springs,-23.7,133.8833,69.35,24,0,8.05,AU,2022-09-08 02:44:17,clear sky
265,265,Bonavista,48.6499,-53.1147,55.2,78,100,17.94,CA,2022-09-08 02:44:17,light rain
266,266,Chuy,-33.6971,-53.4616,57.78,94,33,4.07,UY,2022-09-08 02:44:17,scattered clouds
269,269,Esperance,-33.8667,121.9,56.91,65,100,10.54,AU,2022-09-08 02:44:19,overcast clouds
270,270,Longyearbyen,78.2186,15.6401,40.84,87,75,6.91,SJ,2022-09-08 02:42:17,light rain
272,272,Snezhnogorsk,69.1933,33.2531,40.78,81,100,13.71,RU,2022-09-08 02:44:20,overcast clouds
277,277,Haines Junction,60.7522,-137.5108,53.55,43,97,11.5,CA,2022-09-08 02:45:25,overcast clouds
278,278,Linares,-35.85,-71.6,43.14,95,100,3.11,CL,2022-09-08 02:45:26,overcast clouds
279,279,Taltal,-25.4,-70.4833,53.92,82,33,1.86,CL,2022-09-08 02:45:26,scattered clouds
284,284,Peruibe,-24.32,-46.9983,63.82,93,9,2.55,BR,2022-09-08 02:45:30,clear sky
285,285,Svetlogorsk,52.6333,29.7333,48.72,84,100,4.7,BY,2022-09-08 02:45:30,overcast clouds
286,286,Cabra,37.4725,-4.4421,65.98,47,23,1.45,ES,2022-09-08 02:45:31,few clouds
287,287,Plouzane,48.3833,-4.6167,61.12,91,75,13.8,FR,2022-09-08 02:45:31,broken clouds
289,289,Viedma,-40.8135,-62.9967,46.74,71,100,14.27,AR,2022-09-08 02:45:32,overcast clouds
