,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
244,Pisco,PE,59.05,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
247,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Riambel Paradise Inn
248,Zyryanka,RU,64.85,broken clouds,65.75,150.85,Hotel MX congreso
249,Slave Lake,CA,60.78,clear sky,55.2834,-114.769,Lakeview Inns & Suites - Slave Lake
251,Namibe,AO,64.17,broken clouds,-15.1961,12.1522,iu Hotel Namibe
254,Cidreira,BR,60.28,clear sky,-30.1811,-50.2056,Novo Litoral Norte Hotel
255,Goulburn,AU,60.62,moderate rain,-34.75,149.7167,Mercure Goulburn
258,Kaitangata,NZ,51.46,scattered clouds,-46.2817,169.8464,The Fern & Thistle Accommodation
261,Putina,PE,46.31,clear sky,-15.4667,-69.4333,Hotel Isla Suasi
262,Sterlibashevo,RU,48.34,overcast clouds,53.4376,55.2578,Zur Eni
264,Alice Springs,AU,69.35,clear sky,-23.7,133.8833,DoubleTree by Hilton Hotel Alice Springs
265,Bonavista,CA,55.2,light rain,48.6499,-53.1147,Seaport Inn Hotel & Restaurant
266,Chuy,UY,57.78,scattered clouds,-33.6971,-53.4616,Rivero Hotel Chuí
269,Esperance,AU,56.91,overcast clouds,-33.8667,121.9,Esperance Chalet Village
270,Longyearbyen,SJ,40.84,light rain,78.2186,15.6401,Basecamp Hotel
272,Snezhnogorsk,RU,40.78,overcast clouds,69.1933,33.2531,Mega гостиница
277,Haines Junction,CA,53.55,overcast clouds,60.7522,-137.5108,Parkside Inn
278,Linares,CL,43.14,overcast clouds,-35.85,-71.6,Hotel Parada
279,Taltal,CL,53.92,scattered clouds,-25.4,-70.4833,Hostal Beatriz
284,Peruibe,BR,63.82,clear sky,-24.32,-46.9983,HOTEL FLÓRIDA PERUIBE
285,Svetlogorsk,BY,48.72,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
286,Cabra,ES,65.98,few clouds,37.4725,-4.4421,MS Fuente Las Piedras
287,Plouzane,FR,61.12,broken clouds,48.3833,-4.6167,Belvedere
289,Viedma,AR,46.74,overcast clouds,-40.8135,-62.9967,Hotel Austral Viedma
290,Zdvinsk,RU,52.29,scattered clouds,54.7021,78.661,"Gostinnitsa ""Otel' Sibiriya Inn"""
291,Port Macquarie,AU,66.88,broken clouds,-31.4333,152.9167,Port Macquarie Hotel
294,Zhigansk,RU,50.16,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
