City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
59,Tarragona,41.129,1.249,83.34,71,20,4.61,ES,2022-09-11 18:00:12,few clouds
60,Marrakesh,31.6315,-8.0083,91.47,43,75,17.27,MA,2022-09-11 17:57:02,thunderstorm with light rain
61,Albury,-36.0833,146.9167,46.33,100,98,5.99,AU,2022-09-11 18:00:11,light rain
62,La Ronge,55.1001,-105.2842,67.33,30,3,2.35,CA,2022-09-11 18:01:44,clear sky
63,Quelimane,-17.8786,36.8883,73.78,77,1,9.26,MZ,2022-09-11 18:01:44,clear sky
64,Laiyang,36.9758,120.7136,62.94,90,0,1.52,CN,2022-09-11 18:01:45,clear sky
65,Shingu,33.7333,135.9833,75.81,88,98,6.24,JP,2022-09-11 18:01:45,overcast clouds
66,Jinchang,38.4953,102.1739,64.78,39,0,6.33,CN,2022-09-11 18:01:46,clear sky
67,Shizunai,42.3339,142.3669,63.05,84,87,8.84,JP,2022-09-11 18:01:46,overcast clouds
68,Upernavik,72.7868,-56.1549,40.59,95,100,14.03,GL,2022-09-11 18:01:47,light rain
69,Meulaboh,4.1363,96.1285,77.54,84,100,4.29,ID,2022-09-11 18:01:47,overcast clouds
70,Qaanaaq,77.484,-69.3632,38.55,92,99,6.33,GL,2022-09-11 18:01:47,overcast clouds
71,College,64.8569,-147.8028,46.9,76,100,4.32,US,2022-09-11 18:01:48,overcast clouds
72,Kaiyuan,23.6977,103.3037,65.12,97,100,1.81,CN,2022-09-11 18:01:48,overcast clouds
73,Mao,39.8885,4.2658,81.16,74,20,6.91,ES,2022-09-11 18:01:49,few clouds
74,Kodiak,57.79,-152.4072,52.12,88,81,10.45,US,2022-09-11 18:01:49,broken clouds
75,Bengkulu,-3.8004,102.2655,75.36,86,88,3.06,ID,2022-09-11 18:01:49,light rain
76,Puerto Ayacucho,5.6639,-67.6236,85.37,71,68,2.33,VE,2022-09-11 18:01:50,broken clouds
77,Kahului,20.8947,-156.47,80.83,81,93,8.99,US,2022-09-11 18:01:50,overcast clouds
78,Isangel,-19.55,169.2667,73.44,88,6,6.85,VU,2022-09-11 18:01:51,clear sky
79,Kaitangata,-46.2817,169.8464,42.82,87,100,3.38,NZ,2022-09-11 18:01:51,overcast clouds
80,Tongren,27.7172,109.1853,69.98,84,23,2.37,CN,2022-09-11 18:01:52,few clouds
81,Veraval,20.9,70.3667,79.68,89,100,11.9,IN,2022-09-11 18:01:52,overcast clouds
82,Vestmannaeyjar,63.4427,-20.2734,58.19,67,0,17.27,IS,2022-09-11 18:01:53,clear sky
83,Komsomolskiy,40.4272,71.7189,68.72,34,80,11.5,UZ,2022-09-11 18:01:53,broken clouds
84,Fortuna,40.5982,-124.1573,63.66,93,0,0.0,US,2022-09-11 18:00:01,clear sky
